,name,lat,lon,population,country
0,Tokyo,35.685,139.7514,35676.0,Japan
1,New York,40.6943,-73.9249,19354.922,United States
2,Mexico City,19.4424,-99.131,19028.0,Mexico
3,Mumbai,19.017,72.857,18978.0,India
4,Sao Paulo,-23.5587,-46.625,18845.0,Brazil
5,Delhi,28.67,77.23,15926.0,India
6,Shanghai,31.2165,121.4365,14987.0,China
7,Kolkata,22.495,88.3247,14787.0,India
8,Los Angeles,34.1139,-118.4068,12815.475,United States
9,Dhaka,23.7231,90.4086,12797.394,Bangladesh
10,Buenos Aires,-34.6025,-58.3975,12795.0,Argentina
11,Karachi,24.87,66.99,12130.0,Pakistan
12,Cairo,30.05,31.25,11893.0,Egypt
13,Rio de Janeiro,-22.925,-43.225,11748.0,Brazil
14,Osaka,34.75,135.4601,11294.0,Japan
15,Beijing,39.9289,116.3883,11106.0,China
16,Manila,14.6042,120.9822,11100.0,Philippines
17,Moscow,55.7522,37.6155,10452.0,Russia
18,Istanbul,41.105,29.01,10061.0,Turkey
19,Paris,48.8667,2.3333,9904.0,France
20,Seoul,37.5663,126.9997,9796.0,"Korea, South"
21,Lagos,6.4433,3.3915,9466.0,Nigeria
22,Jakarta,-6.1744,106.8294,9125.0,Indonesia
23,Guangzhou,23.145,113.325,8829.0,China
24,Chicago,41.8373,-87.6862,8675.982,United States
25,London,51.5,-0.1167,8567.0,United Kingdom
26,Lima,-12.048,-77.0501,8012.0,Peru
27,Tehran,35.6719,51.4243,7873.0,Iran
28,Kinshasa,-4.3297,15.315,7843.0,Congo (Kinshasa)
29,Bogota,4.5964,-74.0833,7772.0,Colombia
30,Shenzhen,22.5524,114.1221,7581.0,China
31,Wuhan,30.58,114.27,7243.0,China
32,Hong Kong,22.305,114.185,7206.0,Hong Kong
33,Tianjin,39.13,117.2,7180.0,China
34,Chennai,13.09,80.28,7163.0,India
35,Taipei,25.0358,121.5683,6900.273,Taiwan
36,Bengaluru,12.97,77.56,6787.0,India
37,Bangkok,13.75,100.5166,6704.0,Thailand
38,Lahore,31.56,74.35,6577.0,Pakistan
39,Chongqing,29.565,106.595,6461.0,China
40,Miami,25.7839,-80.2102,6381.966,United States
41,Hyderabad,17.4,78.48,6376.0,India
42,Dallas,32.7936,-96.7662,5733.259,United States
43,Santiago,-33.45,-70.667,5720.0,Chile
44,Philadelphia,40.0077,-75.1339,5637.884,United States
45,Belo Horizonte,-19.915,-43.915,5575.0,Brazil
46,Madrid,40.4,-3.6834,5567.0,Spain
47,Houston,29.7869,-95.3905,5446.468,United States
48,Ahmadabad,23.0301,72.58,5375.0,India
49,Ho Chi Minh City,10.78,106.695,5314.0,Vietnam
50,Washington,38.9047,-77.0163,5289.42,United States
51,Atlanta,33.7627,-84.4225,5228.75,United States
52,Toronto,43.7,-79.42,5213.0,Canada
53,Singapore,1.293,103.8558,5183.7,Singapore
54,Luanda,-8.8383,13.2344,5172.9,Angola
55,Baghdad,33.3386,44.3939,5054.0,Iraq
56,Barcelona,41.3833,2.1834,4920.0,Spain
57,Haora,22.5804,88.3299,4841.638,India
58,Shenyang,41.805,123.45,4787.0,China
59,Khartoum,15.5881,32.5342,4754.0,Sudan
60,Pune,18.53,73.85,4672.0,India
61,Boston,42.3188,-71.0846,4637.537,United States
62,Sydney,-33.92,151.1852,4630.0,Australia
63,Saint Petersburg,59.939,30.316,4553.0,Russia
64,Chittagong,22.33,91.8,4529.0,Bangladesh
65,Dongguan,23.0489,113.7447,4528.0,China
66,Riyadh,24.6408,46.7727,4465.0,Saudi Arabia
67,Hanoi,21.0333,105.85,4378.0,Vietnam
68,Guadalajara,20.67,-103.33,4198.0,Mexico
69,Melbourne,-37.82,144.975,4170.0,Australia
70,Alexandria,31.2,29.95,4165.0,Egypt
71,Chengdu,30.67,104.07,4123.0,China
72,Rangoon,16.7834,96.1667,4088.0,Burma
73,Phoenix,33.5722,-112.0891,4081.849,United States
74,Xi'an,34.275,108.895,4009.0,China
75,Porto Alegre,-30.05,-51.2,3917.0,Brazil
76,Surat,21.2,72.84,3842.0,India
77,Hechi,23.0965,109.6091,3830.0,China
78,Abidjan,5.32,-4.04,3802.0,Côte D’Ivoire
79,Brasilia,-15.7833,-47.9161,3716.996,Brazil
80,Ankara,39.9272,32.8644,3716.0,Turkey
81,Monterrey,25.67,-100.33,3712.0,Mexico
82,Yokohama,35.32,139.58,3697.894,Japan
83,Nanjing,32.05,118.78,3679.0,China
84,Montreal,45.5,-73.5833,3678.0,Canada
85,Guiyang,26.58,106.72,3662.0,China
86,Recife,-8.0756,-34.9156,3651.0,Brazil
87,Seattle,47.6211,-122.3244,3643.765,United States
88,Harbin,45.75,126.65,3621.0,China
89,San Francisco,37.7562,-122.443,3603.761,United States
90,Fortaleza,-3.75,-38.58,3602.319,Brazil
91,Zhangzhou,24.5204,117.67,3531.147,China
92,Detroit,42.3834,-83.1024,3522.206,United States
93,Salvador,-12.97,-38.48,3484.0,Brazil
94,Busan,35.0951,129.01,3480.0,"Korea, South"
95,Johannesburg,-26.17,28.03,3435.0,South Africa
96,Berlin,52.5218,13.4015,3406.0,Germany
97,Algiers,36.7631,3.0506,3354.0,Algeria
98,Rome,41.896,12.4833,3339.0,Italy
99,Pyongyang,39.0194,125.7547,3300.0,"Korea, North"
100,Medellin,6.275,-75.575,3297.0,Colombia
101,Kabul,34.5167,69.1833,3277.0,Afghanistan
102,Athens,37.9833,23.7333,3242.0,Greece
103,Nagoya,35.155,136.915,3230.0,Japan
104,Cape Town,-33.92,18.435,3215.0,South Africa
105,San Diego,32.8312,-117.1225,3210.314,United States
