,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
0,0,Argentine,primary,Buenos Aires,Argentina,AR,-34.606389,-58.435278,12795000.0,10929146.0,594,SA,Amérique du Sud
1,1,Bolivie,primary,La Paz,Bolivia,BO,-16.5,-68.15,1590000.0,812799.0,854,SA,Amérique du Sud
5,5,Bolivie,primary,Sucre,Bolivia,BO,-19.047646,-65.259058,224838.0,221736.0,1148,SA,Amérique du Sud
4,4,Brésil,primary,Brasília,Brazil,BR,-15.783333,-47.916667,3716996.0,2562963.0,543,SA,Amérique du Sud
0,0,Chili,primary,Santiago,Chile,CL,-33.45,-70.666667,5720000.0,46611.0,1056,SA,Amérique du Sud
0,0,Colombie,primary,Bogotá,Colombia,CO,4.649178,-74.062827,7772000.0,6333661.0,379,SA,Amérique du Sud
1,1,Equateur,primary,Quito,Ecuador,EC,-0.194568,-78.49300500000003,1701000.0,1399814.0,215,SA,Amérique du Sud
0,0,Paraguay,primary,Asunción,Paraguay,PY,-25.29389,-57.611111,1870000.0,11693.0,254,SA,Amérique du Sud
0,0,Pérou,primary,Lima,Peru,PE,-12.05,-77.05,8012000.0,6758234.0,200,SA,Amérique du Sud
0,0,Uruguay,primary,Montevideo,Uruguay,UY,-34.858056,-56.170833,1513000.0,5324.0,428,SA,Amérique du Sud
49,49,Venezuela,primary,Caracas,Venezuela,VE,10.488011,-66.879193,0.0,,451,SA,Amérique du Sud
